y_true_step_1,y_predict_step_1
470.62666666666667,441.11148
276.8326666666666,268.44302
344.6261666666667,293.19464
294.87166666666667,263.64185
240.82366666666667,212.82631
210.66383333333332,171.80748
208.4015,154.0634
198.81,132.62862
190.6263333333333,133.68282
163.38666666666668,127.941185
167.328,130.87398
173.60866666666666,126.34398
179.96383333333335,145.63118
181.74433333333332,137.58699
197.05866666666668,139.3994
330.68666666666667,280.15628
638.9035,635.7599
573.0455000000001,565.09406
554.5266666666666,544.30133
462.7458333333333,442.98526
264.73516666666666,235.10112
635.6698333333334,631.1056
572.7741666666666,574.569
560.1176666666667,552.73346
406.66816666666665,441.97275
304.0486666666667,265.55673
348.995,290.0147
335.83733333333333,261.63113
277.24,211.72571
166.4,173.08156
157.24266666666668,155.4256
149.97899999999998,132.51491
150.54266666666666,135.71304
151.0805,132.74525
149.69616666666667,134.61684
147.24566666666666,127.856834
150.78116666666668,142.76115
149.64833333333334,128.3228
122.15683333333332,124.02554
252.26883333333336,239.42995
264.7018333333333,403.25232
153.47899999999998,327.25626
143.07583333333335,274.19006
142.693,239.6056
135.461,176.21024
134.01566666666668,356.77603
133.71583333333334,323.27402
134.22950000000003,333.54947
142.69983333333332,231.52184
135.59366666666668,184.10474
178.82516666666666,208.29808
190.34033333333332,202.7409
187.73766666666668,180.98619
164.2445,139.02995
154.89399999999998,130.95988
140.65166666666667,116.34533
139.74200000000002,110.18079
140.469,114.49724
139.864,116.00528
140.15200000000002,128.64717
150.6375,133.95853
150.426,127.29141
105.73033333333332,122.90369
101.8565,140.27855
102.39783333333334,103.33526
108.74133333333334,98.826385
109.897,99.19006
109.87933333333334,109.80147
113.08400000000002,112.816864
112.7835,112.23717
107.0765,113.545555
106.91033333333333,102.296524
117.0115,92.27574
120.6695,105.08689
201.4511666666667,127.77733
207.91116666666667,134.74147
215.56016666666667,148.45064
194.48666666666668,117.618835
190.261,120.003716
175.287,116.15799
172.8955,123.69478
168.073,126.85428
165.24033333333333,124.70786
168.14016666666666,113.80592
179.20016666666666,119.30023
178.64800000000002,111.26549
134.18833333333333,97.36234
116.53316666666666,116.774
124.80533333333334,165.6043
123.31533333333331,129.61824
119.47283333333333,114.18905
116.11983333333336,113.512634
119.42133333333337,110.711075
121.9195,114.79225
121.8745,124.17713
119.86650000000002,104.59543
124.6735,113.464355
166.5115,123.232765
207.85666666666663,145.23239
207.47816666666668,152.49626
208.37533333333332,166.59358
175.491,133.12659
172.19483333333335,124.53648
168.29083333333335,119.78134
180.232,111.609024
178.39016666666666,142.69127
177.40233333333336,141.24005
142.2795,129.69847
149.425,151.14165
151.01683333333332,145.9462
82.9585,138.1626
92.704,225.24486
107.58766666666666,329.58728
119.9275,175.4632
118.84216666666666,145.79817
122.22933333333334,130.13753
123.46233333333332,117.19861
126.9915,151.18724
136.40183333333331,135.76274
132.14066666666668,123.83612
139.162,114.744644
134.31266666666667,123.22037
127.715,156.49036
131.27916666666667,166.0797
